t[s],HighestCellTemperature[DegC]
236.1806,25.3
236.280616,25.3
236.380913,25.3
236.480378,25.3
236.580364,25.3
236.680387,25.3
236.780372,25.3
236.880584,25.3
236.981174,25.3
237.080652,25.3
237.181092,25.3
237.281093,25.3
237.381296,25.3
237.480919,25.3
237.580964,25.3
237.680926,25.3
237.780923,25.3
237.88008,25.3
237.980069,25.3
238.080554,25.3
238.180011,25.3
238.280492,25.3
238.380658,25.3
238.479878,25.3
238.579831,25.3
238.680849,25.3
238.779856,25.3
238.880011,25.3
238.980018,25.3
239.080558,25.3
239.180577,25.3
239.28057,25.3
239.380781,25.3
239.480905,25.3
239.5799,25.3
239.679891,25.3
239.77991,25.3
239.880062,25.3
239.980023,25.3
240.080575,25.3
240.180591,25.3
240.280581,25.3
240.38077,25.3
240.480384,25.3
240.580414,25.3
240.680399,25.4
240.780382,25.4
240.880492,25.4
240.980488,25.4
241.080083,25.4
241.180088,25.4
241.280075,25.4
241.380279,25.4
241.480435,25.4
241.580408,25.4
241.679933,25.5
241.779934,25.5
241.879919,25.5
241.979944,25.5
242.079936,25.5
242.179934,25.5
242.279945,25.5
242.380443,25.5
242.480422,25.6
242.580428,25.6
242.680428,25.6
242.780424,25.6
242.880429,25.6
242.980428,25.6
243.080423,25.7
243.180425,25.7
243.280407,25.7
243.380444,25.7
243.48041,25.7
243.58044,25.8
243.679955,25.8
243.779946,25.8
243.880443,25.8
243.979952,25.9
244.080425,25.9
244.180424,25.9
244.280428,25.9
244.380429,26
244.480404,26
244.580431,26
244.680422,26
244.780434,26.1
244.880424,26.1
244.980428,26.1
245.080429,26.2
245.180428,26.2
245.28043,26.2
245.380433,26.3
245.48046,26.3
245.580428,26.3
245.68046,26.4
245.780416,26.4
245.880404,26.4
245.980428,26.5
246.080407,26.5
246.180424,26.5
246.280425,26.6
246.380434,26.6
246.480442,26.6
246.580407,26.7
246.680424,26.7
246.780426,26.7
246.880406,26.8
246.980444,26.8
247.080432,26.8
247.180426,26.9
247.280424,26.9
247.380435,27
247.480435,27
247.580437,27
247.680443,27.1
247.780417,27.1
247.880409,27.2
247.980098,27.2
248.080428,27.2
248.180411,27.3
248.280431,27.3
248.380429,27.4
248.480406,27.4
248.580436,27.5
248.680422,27.5
248.780465,27.5
248.880444,27.6
248.980435,27.6
249.080437,27.7
249.180427,27.7
249.28044,27.8
249.380435,27.8
249.480438,27.9
249.580438,27.9
249.680436,28
249.780436,28
249.880406,28
249.980406,28.1
250.080432,28.2
250.180424,28.2
250.28048,28.3
250.380436,28.3
250.480457,28.4
250.580418,28.4
250.680438,28.5
250.780443,28.5
250.880433,28.6
250.980451,28.6
251.080434,28.7
251.180438,28.8
251.280424,28.8
251.380433,28.9
251.480438,28.9
251.580925,29
251.680943,29
251.780943,29.1
251.880427,29.2
251.980418,29.2
252.080424,29.3
252.180415,29.3
252.280436,29.4
252.380438,29.4
252.480418,29.5
252.580436,29.6
252.680422,29.6
252.780444,29.7
252.880447,29.7
252.980438,29.8
253.080435,29.9
253.180458,29.9
253.280452,30
253.380924,30
253.48091,30.1
253.580945,30.2
253.680922,30.2
253.780944,30.3
253.880945,30.4
253.980435,30.4
254.080418,30.5
254.180438,30.5
254.280439,30.6
254.380436,30.7
254.480416,30.7
254.580458,30.8
254.680435,30.8
254.780944,30.9
254.880472,31
254.980931,31
255.080938,31.1
255.180916,31.2
255.280923,31.2
255.380926,31.3
255.480925,31.4
255.580948,31.4
255.680949,31.5
255.780908,31.5
255.880929,31.6
255.98093,31.7
256.080459,31.7
256.180446,31.8
256.280926,31.9
256.380934,31.9
256.480924,32
256.580944,32.1
256.680936,32.1
256.780927,32.2
256.880906,32.3
256.980947,32.3
257.080905,32.4
257.180924,32.4
257.28096,32.5
257.380904,32.6
257.48095,32.6
257.580906,32.7
257.680924,32.8
257.780939,32.8
257.88096,32.9
257.980938,33
258.080956,33
258.180989,33.1
258.280926,33.2
258.380937,33.2
258.480968,33.3
258.580934,33.4
258.68092,33.4
258.780948,33.5
258.880933,33.6
258.980943,33.6
259.080954,33.7
259.180923,33.8
259.280926,33.8
259.380984,33.9
259.480936,34
259.580935,34
259.680968,34.1
259.780919,34.2
259.880933,34.2
259.980942,34.3
260.08092,34.4
260.180953,34.4
260.280976,34.5
260.380938,34.6
260.480943,34.6
260.580967,34.7
260.680937,34.8
260.780965,34.8
260.880962,34.9
260.980943,35
261.080953,35
261.180917,35.1
261.280933,35.2
261.380926,35.2
261.480948,35.3
261.58095,35.4
261.680937,35.4
261.780963,35.5
261.880943,35.6
261.980931,35.6
262.080919,35.7
262.180924,35.8
262.28094,35.8
262.380966,35.9
262.480948,36
262.580953,36
262.680936,36.1
262.780947,36.2
262.880939,36.2
262.980939,36.3
263.080935,36.4
263.180917,36.4
263.280929,36.5
263.380937,36.6
263.480926,36.7
263.580964,36.7
263.680954,36.8
263.780923,36.9
263.880967,36.9
263.980935,37
264.081405,37.1
264.180918,37.1
264.280936,37.2
264.380939,37.3
264.480944,37.3
264.580943,37.4
264.680938,37.5
264.780991,37.5
264.880945,37.6
264.980927,37.7
265.080951,37.7
265.180936,37.8
265.280935,37.9
265.380949,37.9
265.480935,38
265.580972,38.1
265.681423,38.1
265.781443,38.2
265.88144,38.3
265.981452,38.3
266.081428,38.4
266.181421,38.5
266.280981,38.6
266.380938,38.6
266.480919,38.7
266.580944,38.8
266.680921,38.8
266.780935,38.9
266.880946,39
266.980924,39
267.080952,39.1
267.180961,39.2
267.281404,39.2
267.381425,39.3
267.481403,39.4
267.581404,39.4
267.681444,39.5
267.781425,39.6
267.881425,39.6
267.98143,39.7
268.081429,39.8
268.181193,39.8
268.280965,39.9
268.380974,40
268.480954,40
268.580936,40.1
268.681446,40.2
268.781422,40.2
268.881432,40.3
268.981426,40.4
269.081429,40.4
269.181432,40.5
269.281441,40.6
269.381421,40.6
269.48143,40.7
269.581406,40.8
269.681427,40.9
269.781424,40.9
269.881408,41
269.981406,41.1
270.081415,41.1
270.181433,41.2
270.281434,41.3
270.381436,41.3
270.481405,41.4
270.581422,41.5
270.681429,41.5
270.781425,41.6
270.881426,41.7
270.981426,41.7
271.081426,41.8
271.181444,41.9
271.281449,41.9
271.381456,42
271.481423,42.1
271.58144,42.1
271.68143,42.2
271.781459,42.3
